epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,214.836,4.43414,0.10375,0.37625,3.68872,0.0671793,0.000331522,0.000331522
2,502.335,3.21029,0.275,0.63375,2.64986,0.0341632,0.000648748,0.000648748
3,753.024,2.47948,0.41375,0.75375,2.04034,0.00108498,0.000903823,0.000903823
4,1003.24,2.00685,0.515,0.84,1.60675,0.000795954,0.000795954,0.000795954
5,1254.94,1.66254,0.53875,0.86125,1.4789,0.000657963,0.000657963,0.000657963
6,1483.29,1.40399,0.60375,0.89375,1.2669,0.000505,0.000505,0.000505
7,1684.4,1.258,0.6325,0.89875,1.18711,0.000352037,0.000352037,0.000352037
8,1890.41,1.12737,0.6625,0.92875,1.06126,0.000214046,0.000214046,0.000214046
9,2099.88,1.04691,0.6825,0.92125,1.01676,0.000104537,0.000104537,0.000104537
10,2305.33,0.99711,0.6825,0.92375,1.02076,3.4227e-05,3.4227e-05,3.4227e-05
